,Species,Family,Common_name,Locality,Status,Extinct
2387,ellermani,Muridae,Shaw Mayers Shrew Mouse,"Papua New Guinea, Chimbu Province, Bismarck Range, N slopes Mt Wilhelm, 8000 ft (2440 m).",Vulnerable,False
2388,fuscus,Muridae,Mottled-tailed Shrew Mouse,"Papua New Guinea, Chimbu Province, N slopes Mt. Wilhelm, 9000-10,000 ft (2744-3048 m).",Vulnerable,False
2389,murinus,Muridae,Eastern New Guinea Shrew Mouse,"Papua New Guinea, Morobe Province, Wau area, Mt. Missim, 7000 ft (2135 m).",Endangered,False
2390,occidentalis,Muridae,Western New Guinea Shrew Mouse,"New Guinea, Prov. of Papua (= Irian Jaya), north of Mt Wilhelmina, Snow Mtns (Pegunungan Maoke), Lake Habbema, 3225 m.",Vulnerable,False
2391,albocinereus,Muridae,Ash-gray Pseudomys,"Australia, Western Australia, ""scrubby plains near Perth"" (as restricted by Thomas lectotype designation; see Mahoney and Richardson, 1988:171).",Lower risk,False
2392,apodemoides,Muridae,Silky Pseudomys,"Australia, Southern Australia, Coombe.",Lower risk,False
2393,australis,Muridae,Plains Pseudomys,"Australia, New South Wales, SW side of Liverpool Plains; see Mahoney and Richardson (1988:172).",Vulnerable,False
2394,bolami,Muridae,Bolams Pseudomys,"Australia, South Australia, Ooldea.",Lower risk,False
2395,chapmani,Muridae,Western Pebble-mound Mouse,"Australia, Western Australia, Pilbara Dist., East Hammersley Range, West Angelas Mine Site (Kitchener, 1980, provided additional information).",Lower risk,False
2396,delicatulus,Muridae,Delicate Pseudomys,"Australia, Northern Territory, Port Essington (as restricted by Thomass lectotype designation; see Mahoney and Richardson, 1988:173).",Lower risk,False
2397,desertor,Muridae,Desert Pseudomys,"Australia, ""Central Australia"" (see Mahoney and Richardson, 1988:174).",Lower risk,False
2398,fieldi,Muridae,Shark Bay Pseudomys,"Australia, S Northern Territory, Alice Springs.",Endangered,False
2399,fumeus,Muridae,Smoky Pseudomys,"Australia, Victoria, Turton's Pass, Otway Forest.",Endangered,False
2400,glaucus,Muridae,Blue-gray Pseudomys,"Australia, S Queensland.",Endangered,False
2401,gouldii,Muridae,Goulds Pseudomys,"Australia, New South Wales, north of Hunter River (as restricted by Thomas lectotype designation; see Mahoney and Richardson, 1988:175).",Endangered,False
2402,gracilicaudatus,Muridae,Eastern Chestnut Pseudomys,"Australia, Queensland, Darling Downs, Oakey Creek; see Mahoney and Richardson (1988:175).",Lower risk,False
2403,hermannsburgensis,Muridae,Sandy Inland Pseudomys,"Australia, Northern Territory, George Gill Range (as restricted by lectotype designation; see Mahoney and Richardson, 1988:176).",Lower risk,False
2404,higginsi,Muridae,Long-tailed Pseudomys,"Australia, Tasmania, Kentishbury; see Mahoney and Richardson (1988:177).",Lower risk,False
2405,johnsoni,Muridae,Central Pebble-mound Pseudomys,"Australia, C Northern Territory, Kurundi Station, Kurinelli Mine, 150 m (Kitchener, 1985, provided additional information); also Queensland west of the Great Dividing Range, from near Cloncurrys to Camooweal (Van Dyck, 1997, as potentially undescribed species).",Lower risk,False
2406,laborifex,Muridae,Kimberley Pseudomys,"Australia, N Western Australia, Kimberley Region, Mitchell Plateau, adjacent to Camp Creek, 270 m (Kitchener and Humphreys, 1986:421, provided more information, including description of habitat at type locality).",Lower risk,False
2407,nanus,Muridae,Western Chestnut Pseudomys,"Australia, Western Australia, Victoria Plains (as restricted by Thomas lectotype designation; see Mahoney and Richardson, 1988:177).",Lower risk,False
2408,novaehollandiae,Muridae,New Holland Pseudomys,"Australia, New South Wales, upper Hunter River, Yarrundi (as restricted by Thomas lectotype designation; see Mahoney and Richardson, 1988:178).",Lower risk,False
2409,occidentalis,Muridae,Western Pseudomys,"Australia, Western Australia, Tambellup.",Endangered,False
2410,oralis,Muridae,Hastings River Pseudomys,"Australia; exact place unknown, but likely located in NE New South Wales or SE Queensland (Mahoney and Richardson, 1988:179).",Endangered,False
2411,patrius,Muridae,Eastern Pebble-mound Pseudomys,"Australia; Queensland, Mount Inkerman; see Mahoney and Richardson (1988:179).",Vulnerable,False
2412,pilligaensis,Muridae,Pilliga Pseudomys,"Australia, New South Wales, Merriwindi State Forest, 3 km west of Pilliga-Baradine Road., Cumberdeen Road (Fox and Briscoe, 1980, provided additional information).",Vulnerable,False
2413,shortridgei,Muridae,Heath Pseudomys,"Australia, SW Western Australia, neighborhood of Woyerling Reserve, 973 ft (297 m); additional information in Mahoney and Richardson (1988:180).",Lower risk,False
2414,adustus,Muridae,Burnished Enggano Rat,"Indonesia, Pulau Enggano, off the coast of W Sumatra (and off the continental shelf), Kiojoh, sea level.",Vulnerable,False
2415,andamanensis,Muridae,Indochinese Forest Rat,"India, Andaman Isls, South Andaman Isl.",Vulnerable,False
2416,annandalei,Muridae,Annandales Sundaic Rat,"Malaysia (Malay Peninsula), S Perak, Sungkei.",Lower risk,False
2417,argentiventer,Muridae,Ricefield Rat,"Indonesia, west coast of Sumatra, Pasir Ganting.",Lower risk,False
2418,arrogans,Muridae,Western New Guinea Mountain Rat,"New Guinea, Prov. of Papua (= Irian Jaya), N slopes Snow Mtns (Pegunungan Maoke), Doormanpad-bivak, 2400 m, 03E30'S, 138E30'E (Laurie and Hill, 1954).",Check Appendix,False
2419,baluensis,Muridae,Kinabalu Rat,"Malaysia, Sabah (N Borneo), Mt Kinabalu, 8000 ft (2438 m).",Endangered,False
2420,bontanus,Muridae,Southwestern Xanthurus Rat,"Indonesia, SW Sulawesi, Mt Bonthain (Gunung Lampobatang), 2000 ft (610 m).",Lower risk,False
2421,burrus,Muridae,Nicobar Archipelago Rat,"India, Nicobar Isls, Trinkat Isl.",Vulnerable,False
2422,colletti,Muridae,Australian Dusky Rat,"Australia, Northern Territory, South Alligator River (see Mahoney and Richardson, 1988).",Lower risk,False
2423,elaphinus,Muridae,Sula Archipelago Rat,"Indonesia, Kepulauan Sula, Pulau Taliabu (east of Pulau Peleng and Sulawesi).",Vulnerable,False
2424,enganus,Muridae,Enggano Island Rat,"Indonesia, Pulau Enggano (southwest of Sumatra and off the continental margin).",Endangered,False
2425,everetti,Muridae,Philippine Forest Rat,"Philippines, N Mindanao Isl (see Heaney and Rabor, 1982, for details).",Lower risk,False
2426,exulans,Muridae,Pacific Rat,"Society Isls, Tahiti Isl (France).",Lower risk,False
2427,feliceus,Muridae,Spiny Seram Island Rat,"Indonesia, Kepulauan Maluku, Pulau Seram, Gunung Manusela, 6000 ft (1830 m).",Vulnerable,False
2428,fuscipes,Muridae,Australian Bush Rat,"Australia, Western Australia, Albany, ""Little Grove"" on Princess Royal Harbor, 4 mi (6 km) S Mt Melville (as restricted by neotype designation by Taylor and Horner, 1973; also see Mahoney and Richardson, 1988).",Lower risk,False
2429,giluwensis,Muridae,Mount Giluwe Rat,"NE New Guinea, Papua, Mt Giluwe, 11,000-12,000 ft (3350-3660 m).",Lower risk,False
2430,hainaldi,Muridae,Hainalds Flores Island Rat,"Indonesia, Nusa Tenggara, Pulau Flores, Gunung Ranakah, 1300 m, above Kampong Robo, Desa Longko, 8 km SSE Ruteng.",Lower risk,False
2431,hoffmanni,Muridae,Hoffmanns Sulawesi Rat,"Indonesia, NE Sulawesi, Minahassa region.",Lower risk,False
2432,hoogerwerfi,Muridae,Hoogerwerfs Sumatran Rat,"Indonesia, W Sumatra, Aceh, Gunung Leuser, Blang Kedjeren, 2900 ft (885 m).",Vulnerable,False
2433,jobiensis,Muridae,Yapen Island Rat,"New Guinea, Prov. of Papua (= Irian Jaya), Pulau Yapen in Teluk Cendrawasih (Geelvinck Bay).",Lower risk,False
2434,koopmani,Muridae,Koopmans Peleng Island Rat,"Indonesia, Kepulauan Banggai, Pulau Peleng (123'S, 12314'E), which is separated from mainland Sulawesi by deepwater Selat Peleng.",Lower risk,False
2435,korinchi,Muridae,Sumatran Mountain Rat,"Indonesia, W Sumatra, Propinsi Jambi, Gunung Kerinci, Sungai Kring, 7300 ft (2225 m).",Lower risk,False
2436,leucopus,Muridae,Cape York Rat,"Australia, Queensland, Cape York (as restricted by Thomas lectotype selection; see Mahoney and Richardson, 1988:183).",Lower risk,False
2437,losea,Muridae,Losea Rat,Taiwan.,Lower risk,False
2438,lugens,Muridae,Mentawai Archipelago Rat,"Indonesia, Kepulauan Mentawai, Pulau Utara Pagai (North Pagai Isl).",Lower risk,False
2439,lutreolus,Muridae,Australian Swamp Rat,"Australia, New South Wales, Hunter River, Moscheto Isl (as restricted by Thomas lectotype selection; see Mahoney and Richardson, 1988:184).",Lower risk,False
2440,macleari,Muridae,Maclears Christmas Island Rat,Christmas Isl (Australia).,Extinct,False
2441,marmosurus,Muridae,Marmoset Xanthurus Rat,"Indonesia, NE Sulawesi, Minahassa, Gunung Masarang, 2000 ft (610 m).",Lower risk,False
2442,mindorensis,Muridae,Mindoro Mountain Rat,"Philippines, Mindoro Isl, Mt Dulangan, 5000 ft (1524 m).",Vulnerable,False
2443,mollicomulus,Muridae,Lampobatang Sulawesi Rat,"Indonesia, Sulawesi, SW Sulawesi, Gunung Lampobatang, Wawokaraeng, 1500 m.",Vulnerable,False
2444,montanus,Muridae,Sri Lankan Mountain Rat,"Sri Lanka (Ceylon), West Haputale, Ohiya, 6000 ft (1830 m).",Endangered,False
2445,mordax,Muridae,Eastern New Guinea Rat,"Papua New Guinea, Kumusi River (see Tate, 1951:333, for comments).",Lower risk,False
2446,morotaiensis,Muridae,Halmahara Rat,"Indonesia, Moluccas, Pulau Morotai, off N coast of Pulau Halmahera.",Lower risk,False
2447,nativitatis,Muridae,Christmas Island Rat,Christmas Isl (Australia).,Extinct,False
2448,niobe,Muridae,Eastern New Guinea Mountain Rat,"Papua New Guinea, Angabunga River, Owgarra, 2750 m.",Lower risk,False
2449,nitidus,Muridae,White-footed Indochinese Rat,Nepal.,Lower risk,False
2450,norvegicus,Muridae,Brown Rat,Great Britain.,Lower risk,False
2451,novaeguineae,Muridae,Papua New Guinea Rat,"Papua New Guinea, Kalolo Creek, 1070 m.",Lower risk,False
2452,osgoodi,Muridae,Osgoods Vietnamese Rat,"S Vietnam, Lm Dng Province, Langbian Peak, 5000 ft (1524 m; see Musser and Newcomb, 1985:18, for details).",Lower risk,False
2453,palmarum,Muridae,Car Nicobar Rat,"India, Nicobar Isls, Car Nicobar (see below).",Vulnerable,False
2454,pelurus,Muridae,Peleng Island Xanthurus Rat,"Indonesia, Kepulauan Banggai, Pulau Peleng (123'S, 12314'E), east of Sulawesi.",Vulnerable,False
2455,praetor,Muridae,Large New Guinea Spiny Rat,"Solomon Isls, Guadalcanal Isl, Aola.",Lower risk,False
2456,pyctoris,Muridae,Himalayan Rat,Nepal.,Lower risk,False
2457,ranjiniae,Muridae,Ranjinis Rat,"SW Indian Peninsula, India, Kerala State, Trivandrum.",Vulnerable,False
2458,rattus,Muridae,Roof Rat,"Sweden, Uppsala County, Uppsala.",Lower risk,False
2459,richardsoni,Muridae,Richardsons New Guinea Mountain Rat,"New Guinea, Prov. of Papua (= Irian Jaya), northern slopes of Snow Mtns (Pegunungan Maoke), near Lake Habbema, 3225 m.",Lower risk,False
2460,simalurensis,Muridae,Simalur Archipelago Rat,"Indonesia, Sumatra, Pulau Simeulue (Simalur).",Lower risk,False
2461,sordidus,Muridae,Canefield Rat,"Australia, Queensland, open plains Darling Downs (as restricted by Thomas lectotype designation; see Mahoney and Richardson, 1988:187).",Lower risk,False
2462,steini,Muridae,Steins New Guinea Rat,"New Guinea, Prov. of Papua (= Irian Jaya), Weyland Range, Mt Kunupi.",Lower risk,False
2463,stoicus,Muridae,Andaman Archipelago Rat,"India, Andaman Isls, Henry Lawrence Isl.",Vulnerable,False
2464,tanezumi,Muridae,Oriental House Rat,"Japan, possibly from near Nagasaki on Kyushu Isl (see Jones and Johnson, 1965).",Lower risk,False
2465,tawitawiensis,Muridae,Tawitawi Forest Rat,"Philippines, Sulu Arch., Tawitawi Isl, Batu Batu.",Vulnerable,False
2466,timorensis,Muridae,Timor Forest Rat,"Indonesia, Nusa Tenggara, Timor, Gunung Mutis, 1900 m, 7 km E Desa Nenas.",Data Deficiency,False
2467,tiomanicus,Muridae,Malaysian Field Rat,"Malaysia, Pahang, Tioman Isl, off the east coast Malay Peninsula.",Lower risk,False
2468,tunneyi,Muridae,Australian Pale Field Rat,"Australia, Northern Territory, Mary River.",Lower risk,False
2469,vandeuseni,Muridae,Van Deusens New Guinea Mountain Rat,"Papua New Guinea, Maneau Range, N slope Mt Dayman, Middle Camp, 1540 m.",Endangered,False
2470,verecundus,Muridae,New Guinea slender Rat,"Papua New Guinea, Central Province, Aroa River, Avera, 200 m.",Lower risk,False
2471,villosissimus,Muridae,Australian Long-haired Rat,"Australia, Queensland, ""from probably the vicinity of Goonhaghooheeny Billabong, Cooper Creek"" (Mahoney and Richardson, 1988:188).",Lower risk,False
2472,xanthurus,Muridae,Northeastern Xanthurus Rat,"Indonesia, NE Sulawesi, Tondano, 3600 ft (1100 m).",Lower risk,False
2473,dilectus,Muridae,Mesic Four-striped Grass Rat,"NE Zimbabwe, Mashonaland, Mazowe.",Check Appendix,False
2474,pumilio,Muridae,Xeric Four-striped Grass Rat,"South Africa, S Western Cape Province, east of Knysna, Tsitsikamma Forest, Slangrivier.",Data Deficiency,False
2475,orthodon,Muridae,Tyrrhenian Field Rat,"Unknown (see Alcover et al., 1998), presumably from somewhere on either Corsica or Sardinia.",Extinct,False
2476,isarogensis,Muridae,Isarog Rhynchomys,"Philippines, Camarines Sur Province, SE Peninsula of Luzon Isl, Mt Isarog, 5000 ft (1524 m).",Vulnerable,False
2477,soricoides,Muridae,Northern Luzon Rhynchomys,"Philippines, N Luzon Isl, Mountain Province, Mt Data, 8000 ft (2440 m).",Lower risk,False
2478,ponceleti,Muridae,Poncelets Solomys,"Solomon Isls, Bougainville Isl, about 10 mi (16 km) inland from Buin.",Endangered,False
2479,salamonis,Muridae,Florida Island Solomys,"Solomon Isls, Florida Isl in the Nggela Group (Flannery and Wickler, 1990:13).",Vulnerable,False
2480,salebrosus,Muridae,Bougainville Island Solomys,"Solomon Isls, Bougainville Isl.",Lower risk,False
2481,sapientis,Muridae,Isabel Island Solomys,"Solomon Isls, Santa Isabel Isl.",Vulnerable,False
2482,florensis,Muridae,Flores Island Spelaeomys,"Indonesia, Nusa Tenggara, Palau Flores, Manggarai Province, Liang Toge, a cave near Warukia, 1 km S Lepa.",Extinct,False
2483,ohiensis,Muridae,Phillipss Srilankamys,"Sri Lanka (Ceylon), Ohiya, W Haputale, 6000 ft (1830 m).",Lower risk,False
2484,albipes,Muridae,White-footed Stenocephalemys,"Ethiopia, Massawa.",Lower risk,False
2485,albocaudata,Muridae,White-tailed Stenocephalemys,"S Ethiopia, Chilalo Mtns, Inyala Camp.",Lower risk,False
2486,griseicauda,Muridae,Gray-tailed Stenocephalemys,"Ethiopia, Bale Mtns, Dinsho.",Lower risk,False
2487,ruppi,Muridae,Rupps Stenocephalemys,"Ethiopia, Bonke, north of Bulta, 2800-3200 m.",Vulnerable,False
2488,longicaudatus,Muridae,Target Rat,Cameroon.,Lower risk,False
2489,infraluteus,Muridae,Mountain Sundamys,"Malaysia, Sabah (N Borneo), Kinabalu.",Lower risk,False
2490,maxi,Muridae,Javan Sundamys,"Indonesia, Java, Bandung, Cibuni.",Endangered,False
2491,muelleri,Muridae,Mllers Sundamys,"Indonesia, W Sumatra, Batang Singgalang, Padang Highlands.",Lower risk,False
2492,arcuatus,Muridae,Southeastern Mountain Taeromys,"Indonesia, SE Sulawesi, Pegunnungan Mekongga (= Mengkoka), Tanke Salokko (highest spot on the mountain), 03E35'S/121E15'E, 1500 m.",Vulnerable,False
2493,callitrichus,Muridae,Greater Taeromys,"Indonesia, NE Sulawesi, Kakas.",Lower risk,False
2494,celebensis,Muridae,Long-tailed Taeromys,"Indonesia, NE Peninsula, Manado.",Lower risk,False
2495,hamatus,Muridae,Central Mountain Taeromys,"Indonesia, C Sulawesi, Gunung Lehio, 6000 ft (1830 m).",Vulnerable,False
2496,punicans,Muridae,Reddish-furred Taeromys,"Indonesia, C Sulawesi, Pinedapa, 100 ft (30 m).",Lower risk,False
2497,taerae,Muridae,Northeastern Mountain Taeromys,"Indonesia, NE Sulawesi, Lembean, near Tondano.",Lower risk,False
2498,apoensis,Muridae,Dusky Tarsomys,"Philippines, S Mindanao Isl, Davao City Province, Mt Apo, 6750 ft (2058 m).",Lower risk,False
2499,echinatus,Muridae,Spiny Tarsomys,"Philippines, S Mindanao, South Cotabato Province, Mt Matutum, Tupi, Balisong, 2700-3700 ft (823-1128 m).",Vulnerable,False
2500,macrocercus,Muridae,Long-tailed Sulawesian Shrew Rat,"Indonesia, C Sulawesi, Gunung Nokilalaki, 7500 ft (2286 m).",Vulnerable,False
2501,rhinogradoides,Muridae,Tates Sulawesian Shrew Rat,"Indonesia, C Sulawesi, Gunung Latimodjong, 2200 m.",Vulnerable,False
2502,loringi,Muridae,Lorings Thallomys,"E Kenya, Lake Naivasha.",Lower risk,False
2503,nigricauda,Muridae,Black-tailed Thallomys,"Namibia, Great Namaqualand, Hountop (= Hudup or Hutop) River, west of Gibeon (Meester et al., 1986).",Lower risk,False
2504,paedulcus,Muridae,Acacia Thallomys,"South Africa, ""In Caffraria interiore, prope tropicum,"" (Ellerman et al., 1953); ""type locality was in the Magaliesberg area and has been provisionally fixed as Crocodile Drift, Brits, Transvaal [= Gauteng]"" (D. H. S. Davis, 1965:127).",Lower risk,False
2505,shortridgei,Muridae,Shortridges Thallomys,"South Africa, Western Cape Province, Louisvale, S bank of Orange River.",Lower risk,False
2506,kempi,Muridae,Dollmans Thamnomys,"E Dem. Rep. Congo, Nord-Kivu Province, Buhamba, near Lake Kivu, 6000 ft (1830 m).",Lower risk,False
2507,venustus,Muridae,Thomass Thamnomys,"Uganda, Mubuku Valley, Ruwenzori East, 7000 ft (2134 m); see G. M. Allen and Loveridge (1942) for details.",Lower risk,False
2508,muenninki,Muridae,Okinawa Island Spiny Rat,"Japan, Ryukyu Isls (= Nansei Isls), N Okinawa Isl, Hentona (western coast).",Endangered,False
2509,osimensis,Muridae,Amami-oshima Island Spiny Rat,"Japan, Ryukyu Isls (= Nansei Isls), Amami-oshima Isl, Mt Kiyago-kan, village of Sumiyo.",Endangered,False
2510,adustus,Muridae,Luzon Tryphomys,"Philippines, Luzon Isl, Benguet, Haights-in-the-Oaks.",Vulnerable,False
2511,anak,Muridae,Black-tailed Uromys,"Papua New Guinea, Central Province, Brown River, Efogi, ""not less than"" 4000 ft (1220 m).",Lower risk,False
2512,caudimaculatus,Muridae,Giant White-tailed Uromys,"Australia, Queensland, Cape York (see Mahoney and Richardson, 1988).",Lower risk,False
2513,hadrourus,Muridae,Masked White-tailed Uromys,"Australia, NE Queensland, Thornton Peak summit area, 1200 m; see Winter (1984) and Mahoney and Richardson (1988:163) for additional information.",Lower risk,False
2514,imperator,Muridae,Emperor Uromys,"Solomon Isls, Guadalcanal Isl, Aola.",Extinct,False
2515,neobritannicus,Muridae,New Britain Island Uromys,"Papua New Guinea, Bismarck Arch., New Britain Isl.",Lower risk,False
2516,porculus,Muridae,Guadalcanal Uromys,"Solomon Isls, Guadalcanal Isl, Aola.",Extinct,False
2517,rex,Muridae,King Uromys,"Solomon Isls, Guadalcanal Isl, Aola.",Endangered,False
2518,nolthenii,Muridae,Sri Lankan Vandeleuria,"Sri Lanka, Uva, Ohiya, West Haputale, 6000 ft (1830 m).",Vulnerable,False
2519,oleracea,Muridae,Indomalayan Vandeleuria,"India, Madras, Deccan region.",Lower risk,False
2520,fulva,Muridae,Vernays Climbing Mouse,"China, Yunnan, Yinpankai, Mekong River.",Vulnerable,False
2521,barbatus,Muridae,Rock-dwelling Giant Rat,"Papua New Guinea, ""British New Guinea.""",Lower risk,False
2522,myoides,Muridae,False Water Rat,"Australia, Queensland, Mackay.",Endangered,False
2523,hildegardeae,Muridae,Hildegardes Zelotomys,"Kenya (Kenya Colony), Machakos.",Lower risk,False
2524,woosnami,Muridae,Woosnams Zelotomys,"S Botswana, Molopo River.",Lower risk,False
2525,argurus,Muridae,Common Australian Rock Rat,"Australia, probably Northern Territory (see Mahoney and Richardson, 1988:191).",Lower risk,False
2526,maini,Muridae,Arnhem Land Rock Rat,"Australia, Northern Territory, Djawamba Massif, 1.5 km east of Ja Ja Billabong, 150 m (see Kitchener, 1989:357).",Lower risk,False
2527,palatilis,Muridae,Carpentarian Rock Rat,"Australia, Northern Territory, Echo Gorge, Wollogorang Station, 180 m (see Kitchener, 1989:361).",Endangered,False
2528,pedunculatus,Muridae,Central Australian Rock Rat,"Australia, Northern Territory, Alice Springs, but this locality is suspect (Kitchener, 1989; see also Mahoney and Richardson, 1988:191).",Endangered,False
2529,woodwardi,Muridae,Kimberley Rock Rat,"Australia, Western Australia, E Kimberly, Parry Creek, 5 miles (8 km) west of Trig Station HJ9, 100 ft (30.5 m); Mahoney and Richardson (1988:191) provided coordinates and other information.",Lower risk,False
2530,sloggetti,Muridae,Rock Karroo Rat,"South Africa, N Western Cape Province, Deelfontein, north of Richmond.",Lower risk,False
2531,unisulcatus,Muridae,Bush Karroo Rat,"South Africa, Western Cape Province, southwestern Karroo, Matjiesfontein, southwest of Laingsburg (as designated by Roberts, 1946:318).",Least concern,False
2532,anchietae,Muridae,Angolan Vlei Rat,"Angola, Huila, Caconda.",Lower risk,False
2533,angoniensis,Muridae,Angoni Vlei Rat,"Malawi, Misuku Range, Matipa Forest, 7000 ft (as amended by Ansell and Dowsett, 1991).",Lower risk,False
2534,denti,Muridae,Dents Vlei Rat,"Uganda, east slope of Mount Ruwenzori, Mubuku Valley, 6000 ft (as restricted by Moreau et al., 1946:420).",Lower risk,False
2535,irroratus,Muridae,Southern African Vlei Rat,"South Africa, Western Cape Province, Cape Town district, near Constantia (fixed by A. Smith, 1834:149, in supplying replacement name <i>typicus</i>; see Meester et al., 1986:250).",Lower risk,False
2536,laminatus,Muridae,KwaZulu Vlei Rat,"South Africa, KwaZulu-Natal, Zululand, Nkandhla, Sibudeni, 1050 m.",Least concern,False
2537,maximus,Muridae,Okavango Vlei Rat,"Zambia, Machile River, a northern tributary of the Zambezi (1725Ac quadrant as restricted by Davis, 1974:173).",Lower risk,False
2538,occidentalis,Muridae,Western Vlei Rat,"Nigeria, Gotel Mountains, Chappal Waddi.",Endangered,False
2539,saundersiae,Muridae,Saunders Vlei Rat,"South Africa, Eastern Cape Province, Grahamstown.",Lower risk,False
2540,tropicalis,Muridae,East African Vlei Rat,"Kenya, west slope of Mount Kenya, 10,000 ft.",Lower risk,False
2541,typus,Muridae,Ethiopian Vlei Rat,"Ethiopia, Gonder Province, Simien Mtns.",Lower risk,False
2542,brantsii,Muridae,Brantss Whistling Rat,"South Africa, Northern Cape Province, Little Namaqualand, ""toward the mouth of the Orange River.""",Lower risk,False
2543,littledalei,Muridae,Littledales Whistling Rat,"South Africa, Northern Cape Province, Bushmanland, Kenhardt, Tuin.",Lower risk,False
2544,beecrofti,Anomaluridae,Beecrofts Scaly-tailed Squirrel.,"Equatorial Guinea, ""Fernando Po"" (= Bioko).",Lower risk,False
2545,derbianus,Anomaluridae,Lord Derbys Scaly-tailed Squirrel,"""Sierra Leone"".",Lower risk,False
2546,pelii,Anomaluridae,Pels Scaly-tailed Squirrel,"Ghana, ""Daboeram"" ( ""Daboerom (or Dabocrom), aan de Goudkust"" were mis-spellings, see Grubb et al., 1998:184).",Lower risk,False
2547,pusillus,Anomaluridae,Dwarf Scaly-tailed Squirrel,"Dem. Rep. Congo, Monbuttu (Mangbetu) region, Bellima and Tingasi (= Niangara).",Lower risk,False
2548,macrotis,Anomaluridae,Long-eared Scaly-tailed Flying Squirrel,"Cameroon, ""Efulen, Cameroon district, West Africa"".",Lower risk,False
2549,zenkeri,Anomaluridae,Pygmy Scaly-tailed Flying Squirrel,"S Cameroon, Yaounde.",Lower risk,False
2550,insignis,Anomaluridae,Cameroon Scaly-tail,"""Kamerun ((Cameroon)) Afr. occ., Yaunde"".",Lower risk,False
2551,capensis,Pedetidae,South African Spring Hare,"South Africa, Western Cape Prov., Cape of Good Hope.",Vulnerable,False
2552,surdaster,Pedetidae,East African Spring Hare,"Kenya, Naivasha Prov., Mordat, mile 365 of Uganda Railway.",Vulnerable,False
2553,gundi,Ctenodactylidae,Common Gundi,"Libya, Gharian, 80 km S of Tripoli.",Lower risk,False
2554,vali,Ctenodactylidae,Vals Gundi,"Libya, ""Wadi Bey"", NW of Bonjem, Tripoli.",Lower risk,False
2555,vae,Ctenodactylidae,Felou Gundi,"Senegal, upper Senegal River, Medina District, Felou.",Vulnerable,False
2556,mzabi,Ctenodactylidae,Mzab Gundi,"Algeria, Mzab, Ghardaia.",Lower risk,False
2557,spekei,Ctenodactylidae,Spekes Pectinator,"Somalia (between Goree Bunder and Nogal, ca. 09N, 47 E).",Lower risk,False
2558,janetta,Bathyergidae,Namaqua Dune Mole-rat,"South Africa, Northern Cape Prov., coastal Little Namaqualand, Port Nolloth.",Lower risk,False
2559,suillus,Bathyergidae,Cape Dune Mole-rat,"South Africa, Cape of Good Hope.",Lower risk,False
2560,bocagei,Bathyergidae,Bocages Mole-rat,"Angola, Hanha.",Lower risk,False
2561,damarensis,Bathyergidae,Damara Mole-rat,"Namibia, Damaraland.",Lower risk,False
2562,foxi,Bathyergidae,Nigerian Mole-rat,"Nigeria, Panyam (1212 m).",Lower risk,False
2563,hottentotus,Bathyergidae,Southern African Mole-rat,"South Africa, Western Cape Prov., near Paarl (east of Capetown).",Lower risk,False
2564,mechowi,Bathyergidae,Giant Mole-rat,"Angola, Malange.",Lower risk,False
2565,ochraceocinereus,Bathyergidae,Ochre Mole-rat,"Sudan, Upper Bahr-el-Ghazal.",Lower risk,False
2566,zechi,Bathyergidae,Togo Mole-rat,"Togo, near Kete-Kradji.",Lower risk,False
2567,capensis,Bathyergidae,Cape Mole-rat,"South Africa, Cape of Good Hope.",Lower risk,False
2568,argenteocinereus,Bathyergidae,Silvery Mole-rat,"Mozambique, Tete (on the Zambezi River).",Lower risk,False
2569,glaber,Bathyergidae,Naked Mole-rat,"Ethiopia, Shoa.",Lower risk,False
2570,africanus,Hystricidae,African Brush-tailed Porcupine,Sierra Leone.,Lower risk,False
2571,macrourus,Hystricidae,Asiatic Brush-tailed Porcupine,"""Habitat in Asia"", restricted to Malaysia, Malacca by Lyon (1907:584).",Lower risk,False
2572,africaeaustralis,Hystricidae,Cape Porcupine,"Mozambique, Querimba coast and Tette, about 10<sup>o</sup>30 to 12<sup>o</sup>S, 40<sup>o</sup>30E, sea level.",Lower risk,False
2573,brachyura,Hystricidae,Malayan Porcupine,"Malaysia, Malacca.",Vulnerable,False
2574,crassispinis,Hystricidae,Thick-spined Porcupine,"Malaysia, Sabah, opposite Labuan Isl.",Lower risk,False
2575,cristata,Hystricidae,Crested Porcupine,"""Asia"", restricted to near Rome, Italy by Thomas (1911<i>a</i>:141).",Lower risk,False
2576,indica,Hystricidae,Indian Crested Porcupine,India.,Lower risk,False
2577,javanica,Hystricidae,Sunda Porcupine,"Indonesia, Java.",Lower risk,False
2578,pumila,Hystricidae,Phillipine Porcupine,"Philippines, Palawan, Paragua (=Perto Princesa).",Lower risk,False
2579,sumatrae,Hystricidae,Sumatran Porcupine,"Indonesia, E coast of Sumatra, Aru Bay.",Lower risk,False
2580,fasciculata,Hystricidae,Long-tailed Porcupine,"""Malacca"", but no holotype. Van Weers (1976) designated a neotype from ""Runuk Tanjong,"" Malaysia.",Lower risk,False
2581,typicus,Petromuridae,Dassie Rat,"South Africa, ""Mountains toward mouth of Orange River"".",Lower risk,False
2582,gregorianus,Thryonomyidae,Lesser Cane Rat,"Kenya, Luiji Reru River (00<sup>o</sup>35S, 37<sup>o</sup>05E).",Lower risk,False
