ScientificName,Status,Family,Species,CommonName_new
Cynomys parvidens,Threatened,Cynomys,parvidens, Utah Prairie Dog
Antilocapra americana peninsularis,Endangered,Antilocapra,americana peninsularis, Peninsular Pronghorn
Antilocapra americana sonoriensis,Endangered,Antilocapra,americana sonoriensis, Sonoran Pronghorn
Antilocapra americana sonoriensis,XN,Antilocapra,americana sonoriensis, Sonoran Pronghorn
Pudu pudu,Endangered,Pudu,pudu,Pudu
Puma (=Felis) concolor (all subsp. except coryi ),T(S/A),Puma,(=Felis) concolor (all subsp. except coryi ),Puma (=mountain lion)
Puma (=Felis) concolor costaricensis,Endangered,Puma,(=Felis) concolor costaricensis, Costa Rican Puma
Setonix brachyurus,Endangered,Setonix,brachyurus,Quokka
Brachylagus idahoensis,Endangered,Brachylagus,idahoensis, Columbia Basin Pygmy [Columbia Basin Dps] Rabbit
Sylvilagus palustris hefneri,Endangered,Sylvilagus,palustris hefneri, Lower Keys Rabbit
Sylvilagus bachmani riparius,Endangered,Sylvilagus,bachmani riparius, Riparian Brush Rabbit
Pentalagus furnessi,Endangered,Pentalagus,furnessi, Ryukyu Rabbit
Romerolagus diazi,Endangered,Romerolagus,diazi, Volcano Rabbit
Xeromys myoides,Endangered,Xeromys,myoides, False Water Rat
Leporillus conditor,Endangered,Leporillus,conditor, Stick-Nest Rat
Bettongia penicillata,Endangered,Bettongia,penicillata, Brush-Tailed Rat-Kangaroo
Caloprymnus campestris,Endangered,Caloprymnus,campestris, Desert (=Plain) Rat-Kangaroo
Bettongia gaimardi,Endangered,Bettongia,gaimardi, Gaimard'S Rat-Kangaroo
Bettongia lesueur,Endangered,Bettongia,lesueur, Lesuer'S Rat-Kangaroo
Bettongia tropica,Endangered,Bettongia,tropica, Queensland Rat-Kangaroo
Diceros bicornis,Endangered,Diceros,bicornis, Black Rhinoceros
Rhinoceros unicornis,Endangered,Rhinoceros,unicornis, Great Indian Rhinoceros
Rhinoceros sondaicus,Endangered,Rhinoceros,sondaicus, Javan Rhinoceros
Ceratotherium simum cottoni,Endangered,Ceratotherium,simum cottoni, Northern White Rhinoceros
Ceratotherium simum simum,T(S/A),Ceratotherium,simum simum, Southern White Rhinoceros
Dicerorhinus sumatrensis,Endangered,Dicerorhinus,sumatrensis, Sumatran Rhinoceros
Oryzomys palustris natator,Endangered,Oryzomys,palustris natator,Rice rat [Lower FL Keys DPS]
Saiga tatarica mongolica,Endangered,Saiga,tatarica mongolica, Mongolian (Antelope) Saiga
Chiropotes satanas satanas,Endangered,Chiropotes,satanas satanas, Southern Bearded Saki
Chiropotes albinasus,Endangered,Chiropotes,albinasus, White-Nosed Saki
Eumetopias jubatus,Endangered,Eumetopias,jubatus, Steller [Western Dps] Sea Lion
Erignathus barbatus nauticus,Threatened,Erignathus,barbatus nauticus, Bearded [Beringia Dps] Seal
Erignathus barbatus nauticus,Threatened,Erignathus,barbatus nauticus, Bearded [Okhotsk Dps] Seal
Arctocephalus townsendi,Threatened,Arctocephalus,townsendi, Guadalupe Fur Seal
Neomonachus schauinslandi (=Monachus schauinslandi),Endangered,Neomonachus,schauinslandi (=Monachus schauinslandi), Hawaiian Monk Seal
Monachus monachus,Endangered,Monachus,monachus, Mediterranean Monk Seal
Phoca (=Pusa) hispida hispida,Threatened,Phoca,(=Pusa) hispida hispida, Ringed (Arctic Subspecies) Seal
Phoca (=Pusa) hispida botnica,Threatened,Phoca,(=Pusa) hispida botnica, Ringed (Baltic Subspecies) Seal
Phoca (=Pusa) hispida ladogensis,Endangered,Phoca,(=Pusa) hispida ladogensis, Ringed (Ladoga Subspecies) Seal
Phoca (=Pusa) hispida ochotensis,Threatened,Phoca,(=Pusa) hispida ochotensis, Ringed (Okhotsk Subspecies) Seal
Phoca hispida saimensis,Endangered,Phoca,hispida saimensis, Ringed (Saimaa Subspecies) Seal
Phoca largha,Threatened,Phoca,largha, Spotted [Southern Dps] Seal
Bos gaurus,Endangered,Bos,gaurus,Seledang
Naemorhedus (=Capricornis) sumatraensis,Endangered,Naemorhedus,(=Capricornis) sumatraensis,Serow
Leptailurus (=Felis) serval constantina,Endangered,Leptailurus,(=Felis) serval constantina, Barbary Serval
Ovis vignei vignei,Endangered,Ovis,vignei vignei,Shapo
Ovis canadensis nelsoni,Endangered,Ovis,canadensis nelsoni, Peninsular Bighorn [Peninsular Ca Dps] Sheep
Ovis canadensis sierrae,Endangered,Ovis,canadensis sierrae, Sierra Nevada Bighorn Sheep
Cervus elaphus wallichi,Endangered,Cervus,elaphus wallichi,Shou
Sorex ornatus relictus,Endangered,Sorex,ornatus relictus, Buena Vista Lake Shrew
