"Species","CommonName_new","Status","Locality"
"apicalis","Dibbler","Endangered","Australia, South Australia; see Mahoney and Richardson (1988:159)."
"conditor"," Stick-Nest Rat","Endangered","Australia, New South Wales, Polia area, about 45 miles (72 km) from Laidley Ponds; see Mahoney and Richardson (1988:160)."
"parvus"," Mountain Pygmy Possum","Endangered","Indonesia, C Sulawesi, Gunung Nokilalaki, 7400 ft (2256 m)."
"shortridgei"," Shortridge'S Mouse","Endangered","N Namibia, Grootfontein Dist., Okavango-Omatako junction."
"bougainville"," Barred Bandicoot","Endangered","Solomon Isls, Bougainville Isl, Buin."
"gouldii"," Gould'S Mouse","Endangered","Australia, Northern Territory, Port Essington; see details in Mahoney and Richardson (1988:163)."
"musculus"," Blue Whale","Endangered","Sweden, Uppsala County, Uppsala."
"shortridgei"," Shortridge'S Mouse","Endangered","Burma, Mt Popa, 4961 ft (1512 m)."
"aquilo"," Australian Native Mouse","Endangered","Australia, Queensland, Cape York."
"parvus"," Mountain Pygmy Possum","Endangered","Malay Peninsula, Selangor, Bukit Kutu, near Kuala Kubu, 3,400 ft (1035 m)."
"occidentalis"," Western Mouse","Endangered","New Guinea, Prov. of Papua (= Irian Jaya), north of Mt Wilhelmina, Snow Mtns (Pegunungan Maoke), Lake Habbema, 3225 m."
"australis"," Southern Right Whale","Endangered","Australia, New South Wales, SW side of Liverpool Plains; see Mahoney and Richardson (1988:172)."
"fieldi"," Field'S Mouse","Endangered","Australia, S Northern Territory, Alice Springs."
"fumeus"," Smoky Mouse","Endangered","Australia, Victoria, Turton's Pass, Otway Forest."
"gouldii"," Gould'S Mouse","Endangered","Australia, New South Wales, north of Hunter River (as restricted by Thomas lectotype designation; see Mahoney and Richardson, 1988:175)."
"novaehollandiae"," New Holland Mouse","Endangered","Australia, New South Wales, upper Hunter River, Yarrundi (as restricted by Thomas lectotype designation; see Mahoney and Richardson, 1988:178)."
"occidentalis"," Western Mouse","Endangered","Australia, Western Australia, Tambellup."
"shortridgei"," Shortridge'S Mouse","Endangered","Australia, SW Western Australia, neighborhood of Woyerling Reserve, 973 ft (297 m); additional information in Mahoney and Richardson (1988:180)."
"leucopus"," White-Footed Tamarin","Threatened","Australia, Queensland, Cape York (as restricted by Thomas lectotype selection; see Mahoney and Richardson, 1988:183)."
"mindorensis","Tamaraw","Endangered","Philippines, Mindoro Isl, Mt Dulangan, 5000 ft (1524 m)."
"shortridgei"," Shortridge'S Mouse","Endangered","South Africa, Western Cape Province, Louisvale, S bank of Orange River."
"myoides"," False Water Rat","Endangered","Australia, Queensland, Mackay."
"pedunculatus"," Australian Native Mouse","Endangered","Australia, Northern Territory, Alice Springs, but this locality is suspect (Kitchener, 1989; see also Mahoney and Richardson, 1988:191)."
"maximus"," Giant Armadillo","Endangered","Zambia, Machile River, a northern tributary of the Zambezi (1725Ac quadrant as restricted by Davis, 1974:173)."
"maximus"," Asian Elephant","Endangered","Zambia, Machile River, a northern tributary of the Zambezi (1725Ac quadrant as restricted by Davis, 1974:173)."
"occidentalis"," Western Mouse","Endangered","Nigeria, Gotel Mountains, Chappal Waddi."
"africanus"," African Wild Ass","Endangered","Sierra Leone."
"subspinosus"," Thin-Spined Porcupine","Endangered","Brazil, N Bahia, Salvador."
"bicolor"," Pied Tamarin","Endangered","Peru, Junn Debt., between Tulumayo and Chanchamayo Rivers."
"mexicanus"," Mexican Prairie Dog","Endangered","Mexico, in the mountains."
"maximus"," Giant Armadillo","Endangered","Unknown; possibly from pampas of Buenos Aires, Argentina; see Cabrera (1961)."
"maximus"," Asian Elephant","Endangered","Unknown; possibly from pampas of Buenos Aires, Argentina; see Cabrera (1961)."
"australis"," Southern Right Whale","Endangered","Argentina, Pategonia, vicinity of the lower part of the Rio Negro."
